,Adult UBI,Personal Allowance,Basic rate addition,Higher/additional rate increase ratio,Personal Allowance reduction,Higher rate addition,Basic rate addition (x100),Additional rate addition,UBI/Increase ratio combination,Label,Higher rate,Add. rate,PolicyEngine link
26,4800,11000,0.4892578125,2,1570,0.978515625,48.92578125,0.978515625,200%                                                ,"A £4,800 UBI and £11,000 Personal Allowance can be made <br>budget neutral by setting the basic, higher and additional rates<br> to 69%, 138% and 143% respectively.",1.378515625,1.428515625,https://policyengine.org/uk/population-impact?basic_rate=68.9&higher_rate=137.9&add_rate=142.9&personal_allowance=11000&higher_threshold=50270&adult_bi=92.31&senior_bi=92.31&child_bi=46.15&baseline_country_specific=NORTHERN_IRELAND
35,4800,10000,0.4521484375,2,2570,0.904296875,45.21484375,0.904296875,200%                                                ,"A £4,800 UBI and £10,000 Personal Allowance can be made <br>budget neutral by setting the basic, higher and additional rates<br> to 65%, 130% and 135% respectively.",1.304296875,1.354296875,https://policyengine.org/uk/population-impact?basic_rate=65.2&higher_rate=130.4&add_rate=135.4&personal_allowance=10000&higher_threshold=50270&adult_bi=92.31&senior_bi=92.31&child_bi=46.15&baseline_country_specific=NORTHERN_IRELAND
44,4800,9000,0.4169921875,2,3570,0.833984375,41.69921875,0.833984375,200%                                                ,"A £4,800 UBI and £9,000 Personal Allowance can be made <br>budget neutral by setting the basic, higher and additional rates<br> to 62%, 123% and 128% respectively.",1.233984375,1.283984375,https://policyengine.org/uk/population-impact?basic_rate=61.7&higher_rate=123.4&add_rate=128.4&personal_allowance=9000&higher_threshold=50270&adult_bi=92.31&senior_bi=92.31&child_bi=46.15&baseline_country_specific=NORTHERN_IRELAND
53,4800,8000,0.3818359375,2,4570,0.763671875,38.18359375,0.763671875,200%                                                ,"A £4,800 UBI and £8,000 Personal Allowance can be made <br>budget neutral by setting the basic, higher and additional rates<br> to 58%, 116% and 121% respectively.",1.163671875,1.213671875,https://policyengine.org/uk/population-impact?basic_rate=58.2&higher_rate=116.4&add_rate=121.4&personal_allowance=8000&higher_threshold=50270&adult_bi=92.31&senior_bi=92.31&child_bi=46.15&baseline_country_specific=NORTHERN_IRELAND
62,4800,7000,0.3505859375,2,5570,0.701171875,35.05859375,0.701171875,200%                                                ,"A £4,800 UBI and £7,000 Personal Allowance can be made <br>budget neutral by setting the basic, higher and additional rates<br> to 55%, 110% and 115% respectively.",1.101171875,1.151171875,https://policyengine.org/uk/population-impact?basic_rate=55.1&higher_rate=110.1&add_rate=115.1&personal_allowance=7000&higher_threshold=50270&adult_bi=92.31&senior_bi=92.31&child_bi=46.15&baseline_country_specific=NORTHERN_IRELAND
71,4800,6000,0.3212890625,2,6570,0.642578125,32.12890625,0.642578125,200%                                                ,"A £4,800 UBI and £6,000 Personal Allowance can be made <br>budget neutral by setting the basic, higher and additional rates<br> to 52%, 104% and 109% respectively.",1.042578125,1.092578125,https://policyengine.org/uk/population-impact?basic_rate=52.1&higher_rate=104.3&add_rate=109.3&personal_allowance=6000&higher_threshold=50270&adult_bi=92.31&senior_bi=92.31&child_bi=46.15&baseline_country_specific=NORTHERN_IRELAND
80,4800,5000,0.2919921875,2,7570,0.583984375,29.19921875,0.583984375,200%                                                ,"A £4,800 UBI and £5,000 Personal Allowance can be made <br>budget neutral by setting the basic, higher and additional rates<br> to 49%, 98% and 103% respectively.",0.983984375,1.033984375,https://policyengine.org/uk/population-impact?basic_rate=49.2&higher_rate=98.4&add_rate=103.4&personal_allowance=5000&higher_threshold=50270&adult_bi=92.31&senior_bi=92.31&child_bi=46.15&baseline_country_specific=NORTHERN_IRELAND
89,4800,4000,0.2685546875,2,8570,0.537109375,26.85546875,0.537109375,200%                                                ,"A £4,800 UBI and £4,000 Personal Allowance can be made <br>budget neutral by setting the basic, higher and additional rates<br> to 47%, 94% and 99% respectively.",0.937109375,0.987109375,https://policyengine.org/uk/population-impact?basic_rate=46.9&higher_rate=93.7&add_rate=98.7&personal_allowance=4000&higher_threshold=50270&adult_bi=92.31&senior_bi=92.31&child_bi=46.15&baseline_country_specific=NORTHERN_IRELAND
98,4800,3000,0.2451171875,2,9570,0.490234375,24.51171875,0.490234375,200%                                                ,"A £4,800 UBI and £3,000 Personal Allowance can be made <br>budget neutral by setting the basic, higher and additional rates<br> to 45%, 89% and 94% respectively.",0.890234375,0.940234375,https://policyengine.org/uk/population-impact?basic_rate=44.5&higher_rate=89.0&add_rate=94.0&personal_allowance=3000&higher_threshold=50270&adult_bi=92.31&senior_bi=92.31&child_bi=46.15&baseline_country_specific=NORTHERN_IRELAND
107,4800,2000,0.2236328125,2,10570,0.447265625,22.36328125,0.447265625,200%                                                ,"A £4,800 UBI and £2,000 Personal Allowance can be made <br>budget neutral by setting the basic, higher and additional rates<br> to 42%, 85% and 90% respectively.",0.847265625,0.897265625,https://policyengine.org/uk/population-impact?basic_rate=42.4&higher_rate=84.7&add_rate=89.7&personal_allowance=2000&higher_threshold=50270&adult_bi=92.31&senior_bi=92.31&child_bi=46.15&baseline_country_specific=NORTHERN_IRELAND
116,4800,1000,0.2041015625,2,11570,0.408203125,20.41015625,0.408203125,200%                                                ,"A £4,800 UBI and £1,000 Personal Allowance can be made <br>budget neutral by setting the basic, higher and additional rates<br> to 40%, 81% and 86% respectively.",0.808203125,0.858203125,https://policyengine.org/uk/population-impact?basic_rate=40.4&higher_rate=80.8&add_rate=85.8&personal_allowance=1000&higher_threshold=50270&adult_bi=92.31&senior_bi=92.31&child_bi=46.15&baseline_country_specific=NORTHERN_IRELAND
125,4800,0,0.1865234375,2,12570,0.373046875,18.65234375,0.373046875,200%                                                ,"A £4,800 UBI and £0 Personal Allowance can be made <br>budget neutral by setting the basic, higher and additional rates<br> to 39%, 77% and 82% respectively.",0.773046875,0.823046875,https://policyengine.org/uk/population-impact?basic_rate=38.7&higher_rate=77.3&add_rate=82.3&personal_allowance=0&higher_threshold=50270&adult_bi=92.31&senior_bi=92.31&child_bi=46.15&baseline_country_specific=NORTHERN_IRELAND
